Artist,Sex
Mary Spiteri,female
Heart 2 Heart,group
Pave,male
Daisy Auvray,female
Marion Welter & Kontinent,group
Tony Wegas,male
Michael Ball,male
Lotte Nilsson[da] & Kenny Lübcke,group
Extra Nena,female
Merethe Trøan,female
Humphrey Campbell,male
Enrico Ruggeri,male
Burak Aydos,male
Münchener Freiheit,male
Annie Cotton,female
Tommy Seebach Band,group
Katerina Garbi,female
Barbara Dex,female
William Mangion,male
Inga,female
Anabela,female
Patrick Fiori,male
Arvingarna,group
Niamh Kavanagh,female
Modern Times,group
1X Band,group
Fazla,male
Sonia,female
Ruth Jacott,female
Put,group
Eva Santamaría,female
Zymboulakis & Van Beke,group
Lahakat Shiru,group
Silje Vige,female
Marie Bergman & Roger Pontare,group
CatCat,group
Paul Harrington & Charlie McGettigan,group
Sigga,female
Frances Ruffelle,female
Tony Cetinski,male
Sara Tavares,female
Duilio,male
Silvi Vrait,female
Dan Bittman,male
Chris and Moira,group
Willeke Alberti,female
MeKaDo,group
Martin Ďurinda & Tublatanka,group
Ovidijus Vyšniauskas,male
Elisabeth Andreassen & Jan Werner Danielsen,group
Alma & Dejan,group
Kostas Bigalis & The Sea Lovers,group
Petra Frey,female
Alejandro Abad,male
Friderika Bayer,female
Youddiph,female
Edyta Górniak,female
Nina Morato,female
Justyna,female
Eddie Friel,male
Stone & Stone,group
Davor Popović,male
Secret Garden,group
Philipp Kirkorov,male
Bo Halldórsson,male
Stella Jones,female
Anabel Conde,female
Arzu Ece,female
Magazin & Lidija,group
Nathalie Santamaria,female
Csaba Szigeti,male
Frédéric Etherlinck,male
Love City Groove,group
Tó Cruz,male
Alexandros Panayi,male
Jan Johansen,male
Aud Wilken,female
Darja Švajger,female
Liora,female
Mike Spiteri,male
Elina Konstantopoulou,female
Şebnem Paker,female
Gina G,female
Antonio Carbonell,male
Lúcia Moniz,female
Constantinos Christoforou,male
Miriam Christine,female
Maja Blagdan,female
George Nussbaumer,male
Kathy Leander,female
Maarja-Liis Ilus & Ivo Linna,group
Elisabeth Andreassen,female
Dan Ar Braz & L'Héritage des Celtes,group
Regina,female
Maxine & Franklin Brown,group
Lisa del Bo,female
Eimear Quinn,female
Jasmine,female
Anna Mjöll,female
Kasia Kowalska,female
Amila Glamočak,female
Marcel Palonder,male
One More Time,group
Hara & Andreas Konstantinou,group
Şebnem Paker & Grup Etnic,group
Tor Endresen,male
Bettina Soriat,female
Marc Roberts,male
Tanja Ribič,female
Barbara Berta,female
Mrs. Einstein,group
Jalisse,group
Marcos Llunas,male
Bianca Shomburg,female
Anna Maria Jopek,female
Maarja-Liis Ilus,female
Alma Čardžić,female
Célia Lawson,female
Blond,group
Marianna Zorba,female
Debbie Scerri,female
V.I.P.,group
Alla Pugacheva,female
Kølig Kaj,male
Fanny,female
E.N.I.,group
Katrina and the Waves,group
Paul Oscar,male
Danijela,female
Thalassa,group
Marie Line,female
Mikel Herzog,male
Gunvor,female
Katarína Hasprová,female
Sixteen,group
Dana International,female
Guildo Horn,male
Chiara,female
Charlie,male
Vili Resnik,male
Dawn Martin,female
Alma Lusa,group
Mălina Olinescu,female
Imaani,female
Michael Hajiyanni,male
Edsilia Rombley,female
Jill Johnson,female
Mélanie Cohl,female
Edea,group
Lars A. Fredriksen,male
Koit Toome,male
Tüzmen,male
Vlado Janevski,male
Aistė,female
Vanessa Chinitor,female
Lydia,female
Precious,group
Tuba Önal & Grup Mistik,group
Van Eijk,male
Trine Jepsen & Michael Teschl,group
Nayah,female
Marlayne,female
Mietek Szcześniak,male
Selma,female
Marlain,female
Charlotte Nilsson,female
Rui Bandeira,male
The Mullans,group
Bobbie Singer,female
Eden,group
Times Three,group
Sürpriz,group
Dino & Béatrice,group
Evelin Samuel & Camille,group
PingPong,group
Linda Wagenmakers,female
Nicki French,female
Ines,female
Sofia Mestari,female
Taxi,group
Claudette Pace,female
Charmed,group
Alsou,female
Nathalie Sorce,female
Voice,group
August & Telma,group
Olsen Brothers,group
Stefan Raab,male
Jane Bogaert,female
Goran Karan,male
Roger Pontare,male
XXL,group
Nina Åström,female
Brainstorm,group
Pınar Ayhan & the S.O.S.,group
Eamonn Toal,male
The Rounder Girls,group
Michelle,female
Two Tricky,group
Nino Pršeš,male
Haldor Lægreid,male
Tal Sondak,male
Mumiy Troll,group
Friends,group
Skamp,group
Arnis Mednis,male
Vanna,female
MTM,group
Gary O'Shaughnessy,male
David Civera,male
Natasha St-Pier,female
Sedat Yüce,male
Lindsay Dracass,female
Nuša Derenda,female
Piasek,male
"Tanel Padar, Dave Benton & 2XL",group
Fabrizio Faniello,male
Antique,group
Rollo & King,group
One,group
Jessica Garlick,female
Manuel Ortega,male
Michalis Rakintzis,male
Rosa,female
Vesna Pisarović,female
Prime Minister,group
Sahlene,female
Karolina,female
Sarit Hadad,female
Francine Jordi,female
Afro-dite,group
Laura,female
Malene,female
Maja Tatić,female
Sergio & The Ladies,group
Sandrine François,female
Corinna May,female
Buket Bengisu & Group Safir,group
Ira Losco,female
Monica Anghel & Marcel Pavel,group
Sestre,group
Marie N,female
Aivaras,male
Birgitta,female
Alf Poier,male
Mickey Harte,male
Sertab Erener,female
Lynn Chircop,female
Mija Martina,female
Rita Guerra,female
Claudia Beni,female
Stelios Constantas,male
Lou,female
t.A.T.u.,group
Beth,female
Lior Narkis,male
Esther Hart,female
Jemini,group
Olexandr,male
Mando,female
Jostein Hasselgård,male
Louisa Baïleche,female
Ich Troje,group
F.L.Y.,group
Urban Trad,group
Ruffus,group
Nicola,female
Fame,group
Karmen,female
Jari Sillanpää,male
Aleksandra and Konstantin,group
Piero Esteriore & The MusicStars,group
Fomins and Kleins,group
David D'Or,male
Marta Roure,female
Sofia Vitória,female
Julie and Ludwig,group
Maryon,female
Sakis Rouvas,male
Ruslana,female
Linas and Simona,group
Anjeza Shahini,female
Lisa Andreas,female
Toše Proeski,male
Platin,group
Neiokõsõ,group
Ivan Mikulić,male
Tomas Thordarson,male
Željko Joksimović & Ad-Hoc Orchestra,group
Deen,male
Re-Union,group
Global.Kryner,group
Laura & The Lovers,group
2B,group
Zdob și Zdub,group
Walters & Kazha,group
Lise Darly,female
Shiri Maimon,female
Angelica Agurbash,female
Glennis Grace,female
Nuno Resende,male
Suntribe,group
Wig Wam,group
Luminița Anghel & Sistem,group
NOX,group
Geir Rönning,male
Martin Vučić,male
Marian van de Wal,female
Vanilla Ninja,group
Boris Novković feat. Lado Members,group
Kaffe,group
Donna & Joe,group
Omar Naber,male
Jakob Sveistrup,male
Ivan & Delfin,group
André,male
Mariana Popova,female
Anžej Dežan,male
Jenny,female
Polina Smolova,female
Luiz Ejlli,male
Kate Ryan,female
Brian Kennedy,male
Annet Artani,female
Séverine Ferrer,female
Elena Risteska,female
Ich Troje feat. Real McCoy,group
Dima Bilan,male
Sibel Tüzün,female
Tina Karol,female
Lordi,group
Treble,group
LT United,group
Nonstop,group
Sandra Oxenryd,female
Hari Mata Hari,group
Silvia Night,female
Elitsa Todorova & Stoyan Yankoulov,group
Teapacks,group
Dmitry Koldun,male
Eiríkur Hauksson,male
Sopho,female
Stevan Faddy,male
DJ BoBo,male
Natalia Barbu,female
Frederik Ndoci,male
DQ,male
Dragonfly feat. Dado Topić,group
The Jet Set,group
Marija Šerifović,female
Kabát,group
Sabrina,female
Guri Schanke,female
Olivia Lewis,female
Anonymous,group
Magdi Rúzsa,female
Gerli Padar,female
The KMG's,group
Alenka Gotar,female
Kenan Doğulu,male
Eric Papilaya,male
Bonaparti.lv,group
Stefan Filipović,male
Boaz,male
Kreisiraadio,group
Geta Burlacu,female
Miodio,group
Ishtar,group
Elnur & Samir,group
Rebeka Dremelj,female
Maria Haukaas Storeng,female
Isis Gee,female
Dustin the Turkey,male
Gisela,female
Laka,male
Sirusho,female
Hind,female
Teräsbetoni,group
Nico & Vlad,group
Kalomira,female
Andrea Demirović,female
Gipsy.cz,group
Copycat,male
Petr Elfimov,male
Malena Ernman,female
Inga & Anush,group
Susanne Georgi,female
Lovebugs,group
Hadise,female
Noa & Mira Awad,group
Krassimir Avramov,male
Yohanna,female
Next Time,group
Elena,female
Waldo's People,group
Flor-de-Lis,group
SunStroke Project & Olia Tira,group
Peter Nalitch & Friends,group
Malcolm Lincoln,group
Kristína,female
Kuunkuiskaajat,group
Aisha,female
Milan Stanković,female
Vukašin Brajić,male
Marcin Mroziński,male
Tom Dice,male
Thea Garrett,female
Juliana Pasha,female
Giorgos Alkaios & Friends,group
Filipa Azevedo,female
Gjoko Taneski,male
3+2 feat. Robert Wells,group
Hera Björk,female
Magdalena Tul,female
Stella Mwangi,female
Aurela Gaçe,female
Emmy,female
Yüksek Sadakat,group
Alexey Vorobyov,male
Anna Rossinelli,female
Eldrine,group
Paradise Oskar,male
Glen Vella,male
Senit,female
Daria,female
Sjonni's Friends,group
Kati Wolf,female
Homens da Luta,group
Evelina Sašenko,female
Ell & Nikki,group
Loucas Giorkas feat. Stereo Mike,group
Rambo Amadeus,male
Greta Salóme & Jónsi,group
Eleftheria Eleftheriou,female
Anmary,female
Rona Nishliu,female
Mandinga,group
Sinplus,group
Iris,female
Pernilla,female
Izabo,group
Valentina Monetta,female
Ivi Adamou,female
Soluna Samay,female
Buranovskiye Babushki,group
Compact Disco,group
Trackshittaz,group
Pasha Parfeny,male
Jedward,group
Natália Kelly,female
Birgit,female
Hannah,female
Klapa s Mora,group
Emmelie de Forest,female
Dina Garipova,female
Zlata Ognevich,female
Anouk,female
Who See,group
Andrius Pojavis,male
Alyona Lanskaya,female
Aliona Moon,female
Ryan Dolan,male
Despina Olympiou,female
Roberto Bellarosa,male
Moje 3,group
Aram MP3,male
Aarzemnieki,group
Tanja,female
Sanna Nielsen,female
Pollapönk,group
Hersi,female
Tolmachevy Sisters,group
Dilara Kazimova,female
Mariya Yaremchuk,female
Axel Hirsoux,male
Cristina Scarlat,female
Suzy,female
The Common Linnets,group
Sergej Ćetković,male
András Kállay-Saunders,male
Eduard Romanyuta,male
Genealogy,group
Loïc Nottet,male
Trijntje Oosterhuis,female
Pertti Kurikan Nimipäivät,group
Maria Elena Kyriakou,female
Elina Born & Stig Rästa,group
Daniel Kajmakoski,male
Bojana Stamenov,female
Boggie,female
Uzari & Maimuna,group
Polina Gagarina,female
Anti Social Media,group
Elhaida Dani,female
Voltaj,group
Nina Sublatti,female
Sandhja,female
Argo,group
Lidia Isac,female
Freddie,male
Nina Kraljić,female
Douwe Bob,male
Iveta Mukuchyan,female
Serhat,male
Sergey Lazarev,male
Gabriela Gunčíková,female
Minus One,group
Zoë,female
Jüri Pootsmann,male
Samra,female
Highway,group
Greta Salóme,female
Dalal & Deen feat. Ana Rucner & Jala,group
Robin Bengtsson,male
Tamara Gachechiladze,female
Isaiah,male
Lindita,female
Blanche,female
Slavko Kalezić,male
Norma John,group
Dihaj,female
Salvador Sobral,male
Demy,female
Kasia Moś,female
SunStroke Project,group
Svala,female
Martina Bárta,female
Hovig,male
Artsvik,female
Triana Park,group
Aisel,female
Ari Ólafsson,male
Eugent Bushpepa,male
Sennek,female
Mikolas Josef,male
Ieva Zasimauskaitė,female
Netta,female
Alekseev,male
Elina Nechayeva,female
Equinox,group
Eye Cue,group
Franka,female
Cesár Sampson,male
Yianna Terzi,female
Saara Aalto,female
Sevak Khanagyan,male
ZiBBZ,group
Ryan O'Shaughnessy,male
Eleni Foureira,female
Tamta,female
D mol,group
Darude feat. Sebastian Rejman,group
Tulia,group
Zala Kralj & Gašper Šantl,group
Lake Malawi,group
Joci Pápai,male
ZENA,female
Nevena Božović,female
Eliot,male
Oto Nemsadze,male
Kate Miller-Heidke,female
Hatari,group
Victor Crone,male
Conan Osiris,male
Katerine Duska,female
The Roop,group
Ana Soklič,female
Manizha,female
Tusse,male
Montaigne,male
Vasil,male
Lesley Roy,male
Elena Tsagrinou,female
Tix,male
Albina,female
Hooverphonic,group
Eden Alene,female
Roxen,female
Efendi,female
Go_A,group
Destiny,female
Euroband,group
Charlotte Perrelli,female
Mor ve Ötesi,group
Ani Lorak,female
Jeronimas Milius,male
Olta Boka,female
Paolo Meneguzzi,male
Tereza Kerndlová,female
Ruslan Alehno,male
Pirates of the Sea,group
Kraljevi ulice & 75 Cents,group
Deep Zone & Balthazar,group
Simon Mathew,male
Diana Gurtskaya,female
Csézy,female
Morena,female
Evdokia Kadi,female
"Tamara, Vrčak & Adrijan",group
Vânia Fernandes,female
Igor Cukrov feat. Andrea,group
Sinéad Mulvey & Black Daisy,group
Intars Busulis,male
Marko Kon & Milaan,group
Lidia Kopania,female
Alexander Rybak,male
Christina Metaxa,female
Kamil Mikulčík & Nela Pocisková,group
Brinck,male
Quartissimo feat. Martina,group
Zoli Ádok,male
AySel & Arash,group
Sasha Son,male
Nelly Ciobanu,female
Kejsi Tola,female
Svetlana Loboda,female
Urban Symphony,group
The Toppers,group
InCulto,group
Eva Rivas,female
Harel Skaat,male
Chanée & N'evergreen,group
Michael von der Heide,male
Anna Bergendahl,female
Safura,female
Alyosha,female
Sieneke,female
Paula Seling & Ovi,group
Ansambel Žlindra & Kalamari,group
Miro,male
Jon Lilygreen & The Islanders,group
Feminnem,group
Sofia Nizharadze,female
maNga,group
Dino Merlin,male
Nadine Beiler,female
3JS,group
Witloof Bay,group
TWiiNS,group
Mika Newton,female
Eric Saade,male
Christos Mylordos,male
Poli Genova,female
Vlatko Ilievski,male
Maja Keuc,female
Hotel FM,group
Getter Jaani,female
Anastasia Vinnikova,female
Musiqq,group
A Friend in London,group
Željko Joksimović,male
Kaliopi,female
Joan Franka,female
Kurt Calleja,male
Litesound,group
Filipa Sousa,female
Gaitana,female
Sofi Marinova,female
Eva Boto,female
Nina Badrić,female
Loreen,female
Anri Jokhadze,male
Can Bonomo,male
Ott Lepland,male
Max Jason Mai,male
Tooji,male
Maya Sar,female
Donny Montell,male
PeR,group
Esma & Lozano,group
Farid Mammadov,male
Krista Siegfrids,female
Gianluca,male
Eythor Ingi,male
Koza Mostra feat. Agathon Iakovidis,group
Moran Mazor,female
Dorians,group
ByeAlex,male
Margaret Berger,female
Adrian Lulgjuraj & Bledar Sejko,group
Nodi Tatishvili & Sophie Gelovani,group
Takasa,group
Cezar,male
Firelight,group
Mei Finegold,female
Carl Espen,male
The Shin & Mariko,group
Donatan & Cleo,group
Conchita Wurst,male
Vilija,female
Softengine,group
Can-linn feat. Kasey Smith,group
Teo,male
Tijana,female
Sebalter,male
Freaky Fortune feat. RiskyKidd,group
Tinkara Kovač,female
Monika Linkytė & Vaidas Baumila,group
Molly Sterling,female
Anita Simoncini & Michele Perniola,group
Knez,male
Amber,female
Mørland & Debrah Scarlett,group
Leonor Andrade,female
Marta Jandová & Václav Noid Bárta,group
Nadav Guedj,male
Aminata,female
Elnur Hüseynov,male
Maria Olafs,female
Måns Zelmerlöw,male
Mélanie René,female
John Karayiannis,male
Maraaya,group
Monika Kuszyńska,female
Justs,male
Michał Szpak,male
Rykka,female
Hovi Star,male
Ivan,male
Sanja Vučić ZAA,female
Nicky Byrne,male
Dami Im,female
ManuElla,female
Lighthouse X,group
Jamala,female
Agnete,female
Nika Kocharov & Young Georgian Lolitaz,group
Eneda Tarifa,female
Laura Tesoro,female
Tijana Bogićević,female
Nathan Trent,male
Jana Burčeska,female
Claudia Faniello,female
Ilinca feat. Alex Florea,group
O'G3NE,group
Anja,female
Brendan Murray,male
